Position,Word_Kanji,Reading_Kana,English_Meaning,Part_of_Speech,Deck_Step_Label,Frequency_Rank
1,それ,それ,"that, that one",Pronoun,Core 2000 Step 01 - 001,37
2,一つ,ひとつ,one (thing),Noun,Core 2000 Step 01 - 053,247
3,二つ,ふたつ,two (things),Noun,Core 2000 Step 02 - 094,589
4,三つ,みっつ,three (things),Noun,Core 2000 Step 02 - 117,1401
5,四つ,よっつ,four (things),Noun,Core 2000 Step 02 - 126,3088
6,五つ,いつつ,five (things),Noun,Core 2000 Step 02 - 130,4742
7,六つ,むっつ,six (things),Noun,Core 2000 Step 02 - 097,8020
8,七つ,ななつ,seven (things),Noun,Core 2000 Step 02 - 167,7460
9,八つ,やっつ,eight (things),Noun,Core 2000 Step 02 - 183,10055
10,なる,なる,become,Verb,Core 2000 Step 01 - 011,19
11,九つ,ここのつ,nine (things),Noun,Core 2000 Step 02 - 149,17641
12,百,ひゃく,hundred,Noun,Core 2000 Step 02 - 173,213
13,千,せん,thousand,Noun,Core 2000 Step 02 - 096,336
14,万,まん,ten thousand,Noun,Core 2000 Step 02 - 178,300
15,円,えん,circle,Noun,Core 2000 Step 01 - 003,503
16,時,とき,time,Noun,Core 2000 Step 02 - 002,87
17,時々,ときどき,sometimes,Adverb,Core 2000 Step 02 - 165,2199
18,六日,むいか,"six days, 6th of the month",Noun,Core 2000 Step 02 - 098,111256
19,三日,みっか,"three days, 3rd of the month",Noun,Core 2000 Step 02 - 107,182214
20,五日,いつか,"five days, 5th of the month",Noun,Core 2000 Step 02 - 111,149693
21,八日,ようか,"eight days, 8th of the month",Noun,Core 2000 Step 02 - 118,161821
22,二十日,はつか,"20 days, 20th of the month",Noun,Core 2000 Step 02 - 123,32654
23,二日,ふつか,"two days, 2nd of the month",Noun,Core 2000 Step 02 - 125,131093
24,九日,ここのか,"nine days, 9th of the month",Noun,Core 2000 Step 02 - 148,
25,ところ,ところ,place,Noun,Core 2000 Step 01 - 015,92
26,一日,ついたち,1st of the month,Noun,Core 2000 Step 02 - 159,182214
27,十日,とおか,"ten days, 10th of the month",Noun,Core 2000 Step 02 - 164,79296
28,七日,なのか,"seven days, 7th of the month",Noun,Core 2000 Step 02 - 169,161821
29,四日,よっか,"four days, 4th of the month",Noun,Core 2000 Step 02 - 185,
30,月,つき,moon,Noun,Core 2000 Step 02 - 160,535
31,水,みず,water,Noun,Core 2000 Step 02 - 074,309
32,金,かね,money,Noun,Core 2000 Step 02 - 142,269
33,日曜日,にちようび,Sunday,Noun,Core 2000 Step 02 - 012,3720
34,土曜日,どようび,Saturday,Noun,Core 2000 Step 02 - 039,5196
35,やる,やる,do,Verb,Core 2000 Step 01 - 027,78
36,金曜日,きんようび,Friday,Noun,Core 2000 Step 02 - 053,7625
37,月曜日,げつようび,Monday,Noun,Core 2000 Step 02 - 069,7822
38,木曜日,もくようび,Thursday,Noun,Core 2000 Step 02 - 086,13245
39,曜日,ようび,day of the week,Noun,Core 2000 Step 02 - 087,29940
40,火曜日,かようび,Tuesday,Noun,Core 2000 Step 02 - 090,12773
41,水曜日,すいようび,Wednesday,Noun,Core 2000 Step 02 - 093,12590
42,週,しゅう,week,Noun,Core 2000 Step 01 - 167,4817
43,年,とし,"year, age",Noun,Core 2000 Step 01 - 143,99
44,分かる,わかる,understand,Verb,Core 2000 Step 01 - 082,433
45,何,なに,"what, which",Noun,Core 2000 Step 02 - 168,53
46,先,さき,"ahead, first",Noun,Core 2000 Step 02 - 151,259
47,今年,ことし,this year,Noun,Core 2000 Step 01 - 019,2139
48,今,いま,now,Adverb,Core 2000 Step 01 - 023,147
49,今日,きょう,today,Noun,Core 2000 Step 01 - 162,278
50,今月,こんげつ,this month,Noun,Core 2000 Step 01 - 179,12272
51,今週,こんしゅう,this week,Noun,Core 2000 Step 02 - 072,16739
52,来る,くる,come,Verb,Core 2000 Step 02 - 109,63
53,来年,らいねん,next year,Noun,Core 2000 Step 02 - 188,6153
54,もう,もう,"already, yet",Adverb,Core 2000 Step 01 - 038,103
55,行く,いく,go,Verb,Core 2000 Step 01 - 030,67
56,帰る,かえる,"return, go back",Verb,Core 2000 Step 01 - 076,175
57,大きい,おおきい,big,Adjective,Core 2000 Step 02 - 136,905
58,小さい,ちいさい,small,Adjective,Core 2000 Step 02 - 157,550
59,少ない,すくない,"few, little",Adjective,Core 2000 Step 01 - 029,1081
60,少し,すこし,"a little, a little while (polite)",Adverb,Core 2000 Step 01 - 125,204
61,多い,おおい,lots of,Adjective,Core 2000 Step 01 - 004,334
62,多分,たぶん,"probably, perhaps",Adverb,Core 2000 Step 02 - 043,1977
63,上げる,あげる,"raise, improve",Verb,Core 2000 Step 01 - 197,358
64,よく,よく,often,Adverb,Core 2000 Step 01 - 045,154
65,上る,のぼる,"go up, climb up",Verb,Core 2000 Step 02 - 064,856
66,上,うえ,"up, above",Noun,Core 2000 Step 02 - 132,120
67,下,した,"under, below",Noun,Core 2000 Step 02 - 154,219
68,右,みぎ,right,Noun,Core 2000 Step 01 - 185,564
69,左,ひだり,left,Noun,Core 2000 Step 02 - 124,715
70,方,ほう,"direction, side",Noun,Core 2000 Step 02 - 174,121
71,大人,おとな,adult,Noun,Core 2000 Step 02 - 139,1516
72,人,ひと,person,Noun,Core 2000 Step 02 - 171,31
73,一人,ひとり,"one, one person",Noun,Core 2000 Step 02 - 172,97423
74,どう,どう,"how, what",Adverb,Core 2000 Step 01 - 048,112
75,入れる,いれる,put in,Verb,Core 2000 Step 01 - 040,234
76,入る,はいる,enter,Verb,Core 2000 Step 02 - 070,126
77,出る,でる,"go out, leave",Verb,Core 2000 Step 01 - 013,76
78,出す,だす,"take out, turn in",Verb,Core 2000 Step 02 - 156,130
79,本,ほん,"book, volume",Noun,Core 2000 Step 01 - 044,208
80,休む,やすむ,"take a day off, take a break",Verb,Core 2000 Step 02 - 199,1706
81,体,からだ,"body, health",Noun,Core 2000 Step 01 - 104,242
82,目,め,eye,Noun,Core 2000 Step 02 - 182,84
83,どこ,どこ,where,Noun,Core 2000 Step 01 - 052,133
84,口,くち,mouth,Noun,Core 2000 Step 02 - 146,145
85,耳,みみ,"ear, hearing",Noun,Core 2000 Step 01 - 183,328
86,上手,じょうず,"skilled,&nbsp;good",Adjectival Noun,Core 2000 Step 02 - 120,3003
87,手,て,hand,Noun,Core 2000 Step 02 - 163,81
88,足,あし,"leg, foot",Noun,Core 2000 Step 01 - 119,261
89,空く,すく,"become empty, become less crowded",Verb,Core 2000 Step 02 - 063,3139
90,子供,こども,"child, kid",Noun,Core 2000 Step 01 - 035,268
91,あげる,あげる,give,Verb,Core 2000 Step 01 - 054,181
92,好き,すき,"favorite, liked",Adjectival Noun,Core 2000 Step 01 - 158,368
93,大好き,だいすき,love,Adjective,Core 2000 Step 02 - 060,3717
94,私,わたし,I,Noun,Core 2000 Step 01 - 008,41
95,友達,ともだち,"friend, companion",Noun,Core 2000 Step 01 - 151,1384
96,家,うち,"house, home, my family",Noun,Core 2000 Step 01 - 005,114
97,気,き,"spirit, temperament",Noun,Core 2000 Step 01 - 073,106
98,元気,げんき,"healthy, energetic",Adjective,Core 2000 Step 01 - 191,1055
99,天気,てんき,weather,Noun,Core 2000 Step 02 - 035,5509
100,晴れる,はれる,"be sunny, clear up",Verb,Core 2000 Step 02 - 059,3331
101,こう,こう,"like this, this kind of",Adverb,Core 2000 Step 01 - 055,253
102,昨日,きのう,yesterday,Noun,Core 2000 Step 02 - 144,878
103,開ける,あける,"open, unlock",Verb,Core 2000 Step 02 - 013,478
104,開く,ひらく,open を/が,Verb,Core 2000 Step 02 - 073,280
105,閉じる,とじる,"close (book, eyes, etc.)",Verb,Core 2000 Step 02 - 001,1059
106,閉める,しめる,"shut, close",Verb,Core 2000 Step 02 - 051,2053
107,閉まる,しまる,"be shut, be closed",Verb,Core 2000 Step 02 - 077,5612
108,聞く,きく,"hear, ask",Verb,Core 2000 Step 01 - 047,117
109,時間,じかん,"time, hour",Noun,Core 2000 Step 01 - 018,188
110,高い,たかい,"high, tall",Adjective,Core 2000 Step 01 - 032,294
111,くれる,くれる,give (to me),Verb,Core 2000 Step 01 - 057,80
112,安い,やすい,"inexpensive, cheap",Adjective,Core 2000 Step 01 - 100,2485
113,低い,ひくい,"low, short",Adjective,Core 2000 Step 01 - 107,675
114,前,まえ,"front, before",Noun,Core 2000 Step 02 - 110,88
115,後,あと,after,Adverb,Core 2000 Step 01 - 070,194
116,後ろ,うしろ,"back, behind",Noun,Core 2000 Step 02 - 009,826
117,午後,ごご,"afternoon, p.m.",Noun,Core 2000 Step 01 - 042,792
118,午前,ごぜん,"morning, a.m.",Noun,Core 2000 Step 01 - 060,1918
119,朝,あさ,morning,Noun,Core 2000 Step 01 - 088,431
120,昼,ひる,"daytime, midday, lunch",Noun,Core 2000 Step 02 - 014,2069
121,かなり,かなり,"fairly, rather",Adverb,Core 2000 Step 01 - 065,516
122,晩,ばん,evening (usually from sunset to bedtime),Noun,Core 2000 Step 02 - 038,901
123,今晩,こんばん,"this evening, tonight",Noun,Core 2000 Step 02 - 095,4532
124,夜,よる,night (from sunset to sunrise),Noun,Core 2000 Step 02 - 186,211
125,食べる,たべる,eat,Verb,Core 2000 Step 01 - 109,393
126,飲む,のむ,drink,Verb,Core 2000 Step 01 - 188,335
127,ご飯,ごはん,"cooked rice, meal",Noun,Core 2000 Step 02 - 065,6578
128,買う,かう,buy,Verb,Core 2000 Step 01 - 061,437
129,見る,みる,"see, look at",Verb,Core 2000 Step 01 - 002,45
130,見せる,みせる,show,Verb,Core 2000 Step 01 - 122,288
131,もっと,もっと,more,Adverb,Core 2000 Step 01 - 075,367
132,見つける,みつける,find (something),Verb,Core 2000 Step 01 - 149,728
133,見える,みえる,be visible,Verb,Core 2000 Step 02 - 179,132
134,見つかる,みつかる,"be found, be caught",Verb,Core 2000 Step 02 - 200,1183
135,言う,いう,"say, tell",Verb,Core 2000 Step 01 - 028,32
136,話す,はなす,"speak, tell",Verb,Core 2000 Step 01 - 102,240
137,読む,よむ,read,Verb,Core 2000 Step 01 - 146,344
138,漢字,かんじ,Chinese character,Noun,Core 2000 Step 01 - 168,7172
139,書く,かく,write,Verb,Core 2000 Step 01 - 101,193
140,覚える,おぼえる,"memorize, learn",Verb,Core 2000 Step 01 - 156,555
141,そこ,そこ,there,Pronoun,Core 2000 Step 01 - 085,135
142,会う,あう,meet,Verb,Core 2000 Step 01 - 092,264
143,仕事,しごと,"work, job",Noun,Core 2000 Step 01 - 009,236
144,場合,ばあい,"situation, case",Noun,Core 2000 Step 02 - 198,375
145,車,くるま,"car, automobile",Noun,Core 2000 Step 01 - 079,305
146,電車,でんしゃ,train,Noun,Core 2000 Step 01 - 170,1809
147,駅,えき,railway station,Noun,Core 2000 Step 02 - 134,817
148,道,みち,"way, road, street",Noun,Core 2000 Step 02 - 181,277
149,他,ほか,other,Noun,Core 2000 Step 02 - 175,274
150,止める,やめる,"stop, give up, abolish",Verb,Core 2000 Step 02 - 184,652
151,ここ,ここ,here,Pronoun,Core 2000 Step 01 - 105,116
152,歩く,あるく,"walk, go on foot",Verb,Core 2000 Step 01 - 090,198
153,走る,はしる,run,Verb,Core 2000 Step 01 - 086,320
154,近く,ちかく,"near, close to",Adverb,Core 2000 Step 01 - 039,453
155,近い,ちかい,"near, close",Adjective,Core 2000 Step 01 - 084,645
156,近く,ちかく,"vicinity, nearby",Noun,Core 2000 Step 02 - 028,453
157,遠い,とおい,"far, distant",Adjective,Core 2000 Step 01 - 181,653
158,長い,ながい,long,Adjective,Core 2000 Step 01 - 043,316
159,短い,みじかい,"short, brief",Adjective,Core 2000 Step 01 - 133,1071
160,広い,ひろい,"wide, big",Adjective,Core 2000 Step 01 - 081,830
161,もらう,もらう,receive,Verb,Core 2000 Step 01 - 108,224
162,全部,ぜんぶ,"all, wholly",Adverb,Core 2000 Step 01 - 193,777
163,国,くに,country,Noun,Core 2000 Step 01 - 025,373
164,白い,しろい,"white, blank (for paper)",Adjective,Core 2000 Step 01 - 136,337
165,赤い,あかい,red,Adjective,Core 2000 Step 01 - 161,586
166,部屋,へや,room,Noun,Core 2000 Step 01 - 093,153
167,米,こめ,rice (grain),Noun,Core 2000 Step 02 - 003,1104
168,まだ,まだ,"(not) yet, still",Adverb,Core 2000 Step 01 - 026,134
169,とても,とても,very,Adverb,Core 2000 Step 01 - 124,426
170,作る,つくる,"make, create",Verb,Core 2000 Step 01 - 021,388
171,使う,つかう,use,Verb,Core 2000 Step 01 - 014,248
172,消す,けす,"erase, turn off",Verb,Core 2000 Step 01 - 190,1001
173,売る,うる,sell を,Verb,Core 2000 Step 01 - 087,973
174,店,みせ,"shop, store",Noun,Core 2000 Step 02 - 180,354
175,春,はる,spring,Noun,Core 2000 Step 01 - 059,963
176,夏,なつ,summer,Noun,Core 2000 Step 02 - 166,794
177,秋,あき,"autumn, fall",Noun,Core 2000 Step 01 - 095,1260
178,冬,ふゆ,winter,Noun,Core 2000 Step 01 - 142,1235
179,みんな,みんな,"all, everybody",Noun,Core 2000 Step 01 - 129,257
180,暑い,あつい,hot (temperature of the air),Adjective,Core 2000 Step 02 - 036,2161
181,熱い,あつい,"hot (things, touch)",Adjective,Core 2000 Step 02 - 023,1315
182,寒い,さむい,cold (temperature of the air),Adjective,Core 2000 Step 02 - 152,1282
183,暖かい,あたたかい,warm,Adjective,Core 2000 Step 02 - 127,4365
184,新しい,あたらしい,new,Adjective,Core 2000 Step 01 - 007,591
185,古い,ふるい,old,Adjective,Core 2000 Step 01 - 117,909
186,良い,いい,good,Adjective,Core 2000 Step 02 - 129,584
187,悪い,わるい,bad,Adjective,Core 2000 Step 02 - 190,217
188,思う,おもう,think,Verb,Core 2000 Step 01 - 016,43
189,いつも,いつも,always,Adverb,Core 2000 Step 01 - 138,241
190,忘れる,わすれる,"forget, leave behind",Verb,Core 2000 Step 01 - 152,349
191,考える,かんがえる,"think, consider",Verb,Core 2000 Step 01 - 033,109
192,決める,きめる,"decide, agree upon",Verb,Core 2000 Step 01 - 031,910
193,決まる,きまる,be decided,Verb,Core 2000 Step 02 - 006,1287
194,知る,しる,"&nbsp;(get to) know, realize",Verb,Core 2000 Step 01 - 020,85
195,一番,いちばん,most,Adverb,Core 2000 Step 01 - 165,620
196,住む,すむ,"live, reside",Verb,Core 2000 Step 01 - 067,597
197,名前,なまえ,name,Noun,Core 2000 Step 01 - 112,378
198,食べ物,たべもの,food,Noun,Core 2000 Step 02 - 031,5010
199,いつ,いつ,when,Noun,Core 2000 Step 01 - 150,443
200,飲み物,のみもの,"beverage, drink",Noun,Core 2000 Step 02 - 085,8782
201,重い,おもい,"heavy, serious (illness)",Adjective,Core 2000 Step 01 - 144,825
202,軽い,かるい,"light, light weight",Adjective,Core 2000 Step 01 - 148,643
203,送る,おくる,send,Verb,Core 2000 Step 01 - 097,562
204,取る,とる,"take, get",Verb,Core 2000 Step 01 - 130,289
205,待つ,まつ,"wait, wait for",Verb,Core 2000 Step 01 - 106,203
206,持つ,もつ,"have, possess",Verb,Core 2000 Step 01 - 017,127
207,気持ち,きもち,"feeling (about something, emotion)",Noun,Core 2000 Step 01 - 077,571
208,生きる,いきる,live (one's life),Verb,Core 2000 Step 01 - 049,331
209,どちら,どちら,which,Noun,Core 2000 Step 01 - 154,1204
210,先生,せんせい,teacher (respectful title),Noun,Core 2000 Step 01 - 071,205
211,大学,だいがく,"university, college",Noun,Core 2000 Step 01 - 037,999
212,学生,がくせい,student,Noun,Core 2000 Step 01 - 041,1481
213,大学生,だいがくせい,university student,Noun,Core 2000 Step 02 - 017,6609
214,学校,がっこう,school,Noun,Core 2000 Step 01 - 056,596
215,高校生,こうこうせい,high school student,Noun,Core 2000 Step 02 - 119,4215
216,教える,おしえる,"teach, tell",Verb,Core 2000 Step 01 - 089,470
217,勉強,べんきょう,study,Verbal Noun,Core 2000 Step 01 - 131,1605
218,強い,つよい,strong,Adjective,Core 2000 Step 02 - 121,304
219,どれ,どれ,"what, which",Noun,Core 2000 Step 01 - 160,870
220,弱い,よわい,weak,Adjective,Core 2000 Step 01 - 182,1561
221,引く,ひく,"pull, draw",Verb,Core 2000 Step 01 - 195,497
222,質問,しつもん,question,Verbal Noun,Core 2000 Step 01 - 126,843
223,難しい,むずかしい,difficult,Adjective,Core 2000 Step 01 - 096,1764
224,数,かず,(the) number,Noun,Core 2000 Step 01 - 083,254
225,勝つ,かつ,win,Verb,Core 2000 Step 01 - 140,1543
226,負ける,まける,"lose, be defeated",Verb,Core 2000 Step 01 - 192,1397
227,本当に,ほんとうに,"really, truly",Adverb,Core 2000 Step 02 - 193,442
228,要る,いる,"need, require",Verb,Core 2000 Step 02 - 054,4358
229,時計,とけい,"clock, watch",Noun,Core 2000 Step 02 - 044,1619
230,払う,はらう,pay,Verb,Core 2000 Step 01 - 147,1068
231,切る,きる,cut,Verb,Core 2000 Step 02 - 004,428
232,変える,かえる,to change (st),Verb,Core 2000 Step 01 - 080,718
233,乗る,のる,"ride, take",Verb,Core 2000 Step 01 - 099,397
234,着る,きる,"wear, put on",Verb,Core 2000 Step 01 - 163,510
235,立つ,たつ,"stand, rise",Verb,Core 2000 Step 01 - 072,166
236,座る,すわる,"sit, sit down",Verb,Core 2000 Step 01 - 184,853
237,次,つぎ,next,Noun,Core 2000 Step 01 - 120,323
238,喋る,しゃべる,"chat, talk",Verb,Core 2000 Step 02 - 027,1299
239,動く,うごく,move (が),Verb,Core 2000 Step 02 - 133,391
240,働く,はたらく,to work,Verb,Core 2000 Step 01 - 069,801
241,早い,はやい,early,Adjective,Core 2000 Step 01 - 110,311
242,速い,はやい,fast,Adjective,Core 2000 Step 01 - 176,2183
243,遅い,おそい,"slow, late",Adjective,Core 2000 Step 01 - 174,1252
244,始める,はじめる,"begin, start を",Verb,Core 2000 Step 01 - 010,400
245,始まる,はじまる,begin が,Verb,Core 2000 Step 02 - 032,1066
246,終わる,おわる,"finish, end",Verb,Core 2000 Step 01 - 063,611
247,終わり,おわり,"end, conclusion",Noun,Core 2000 Step 02 - 018,2031
248,去年,きょねん,last year,Noun,Core 2000 Step 01 - 194,2474
249,紙,かみ,paper,Noun,Core 2000 Step 01 - 172,1236
250,楽しむ,たのしむ,enjoy,Verb,Core 2000 Step 01 - 127,1799
251,楽しい,たのしい,"fun, enjoyable",Adjective,Core 2000 Step 02 - 007,926
252,歌う,うたう,sing,Verb,Core 2000 Step 01 - 173,1695
253,欲しい,ほしい,"want, desire",Adjective,Core 2000 Step 02 - 177,976
254,色,いろ,color,Noun,Core 2000 Step 01 - 128,407
255,茶色,ちゃいろ,light brown,Noun,Core 2000 Step 02 - 061,5141
256,すぐ,すぐ,"at once, soon",Adverb,Core 2000 Step 01 - 091,162
257,書き直す,かきなおす,rewrite,Verb,Core 2000 Step 02 - 084,25047
258,直る,なおる,"be repaired, return to normal",Verb,Core 2000 Step 02 - 100,9929
259,線,せん,"line, route (trainなど)",Noun,Core 2000 Step 02 - 005,1289
260,曲がる,まがる,turn,Verb,Core 2000 Step 02 - 048,3456
261,同じ,おなじ,"same, identical",Adjectival Noun,Core 2000 Step 01 - 022,157
262,違う,ちがう,"differ, be wrong",Verb,Core 2000 Step 02 - 115,298
263,図書館,としょかん,library,Noun,Core 2000 Step 01 - 196,5144
264,泊まる,とまる,stay overnight,Verb,Core 2000 Step 02 - 045,3281
265,遊ぶ,あそぶ,"have a good time, play",Verb,Core 2000 Step 01 - 180,1496
266,どうして,どうして,why,Adverb,Core 2000 Step 02 - 046,276
267,服,ふく,clothes,Noun,Core 2000 Step 02 - 008,871
268,お父さん,おとうさん,father,Noun,Core 2000 Step 02 - 042,1267
269,父,ちち,(speaker's)father,Noun,Core 2000 Step 02 - 158,296
270,お母さん,おかあさん,mother,Noun,Core 2000 Step 02 - 015,1238
271,母,はは,(speaker's) mother,Noun,Core 2000 Step 02 - 170,356
272,親,おや,parent,Noun,Core 2000 Step 01 - 116,959
273,姉,あね,older sister,Noun,Core 2000 Step 01 - 155,1057
274,お姉さん,おねえさん,older sister,Noun,Core 2000 Step 02 - 099,6069
275,妹,いもうと,younger sister,Noun,Core 2000 Step 02 - 131,849
276,おなか,おなか,stomach,Noun,Core 2000 Step 02 - 049,7611
277,兄,あに,older brother,Noun,Core 2000 Step 01 - 111,731
