Component,Component_Meaning,Kanji,Kanji_Meaning,Word,Word_Reading,English_Meaning,Position_in_Deck
山,mountain,出,"exit, leave",出る,でる,"go out, leave",77
山,mountain,出,"exit, leave",出す,だす,"take out, turn in",78
山,mountain,出,"exit, leave",出口,でぐち,"exit, exit ramp",431
山,mountain,出,"exit, leave",思い出す,おもいだす,"recollect, recall",687
山,mountain,出,"exit, leave",思い出,おもいで,"recollections, memory",688
山,mountain,出,"exit, leave",引き出し,ひきだし,"drawer, withdrawal",770
山,mountain,出,"exit, leave",貸し出す,かしだす,lend out<br>(used for businesses/banks),835
山,mountain,出,"exit, leave",出席,しゅっせき,"attendance, presence",893
山,mountain,出,"exit, leave",出発,しゅっぱつ,"departure, starting",934
山,mountain,出,"exit, leave",輸出,ゆしゅつ,export,1309
山,mountain,出,"exit, leave",出かける,でかける,"go out, be about to go out",1646
山,mountain,島,island,島,しま,"island, isle",1109
山,mountain,密,"secrecy, density (pop)",秘密,ひみつ,"secret, privacy",1272
山,mountain,両,"both, old japanese coin",両方,りょうほう,both,1330
山,mountain,両,"both, old japanese coin",両替,りょうがえ,"exchanging currency, break (a 1万 note)",1331
山,mountain,両,"both, old japanese coin",両親,りょうしん,parents,1332
山,mountain,岸,beach,海岸,かいがん,"coast, seashore",1461
山,mountain,催,"sponsor, hold (a meeting)",開催,かいさい,"holding (of an event), opening",1510
山,mountain,徴,"indications, sign",特徴,とくちょう,distinguishing characteristic,1511
山,mountain,缶,"tin can, container",缶詰,かんづめ,canned goods,1681
山,mountain,缶,"tin can, container",缶,かん,"can, tin",1683
穴,"hole, aperture",空,"empty, sky",空く,すく,"become empty, become less crowded",89
穴,"hole, aperture",空,"empty, sky",空く,あく,become available or vacant,443
穴,"hole, aperture",空,"empty, sky",空手,からて,"karate, empty hand",444
穴,"hole, aperture",空,"empty, sky",空,そら,"sky, weather",445
穴,"hole, aperture",空,"empty, sky",空気,くうき,"air, atmosphere",468
穴,"hole, aperture",空,"empty, sky",航空便,こうくうびん,airmail,1104
穴,"hole, aperture",空,"empty, sky",空港,くうこう,airport,1107
穴,"hole, aperture",究,"research, study",研究,けんきゅう,"research, study",778
穴,"hole, aperture",窓,"window, pane",窓,まど,"window, windowpane",1003
穴,"hole, aperture",容,"contain, form",内容,ないよう,contents,1485
穴,"hole, aperture",容,"contain, form",美容院,びよういん,hair salon,1507
穴,"hole, aperture",突,"stab, protruding",突き当たる,つきあたる,"come to the end of (street), run into (st)",1543
穴,"hole, aperture",突,"stab, protruding",突き当たり,つきあたり,end of a street,1544
豕,"pig, hog",家,"house, home",家,うち,"house, home, my family",96
豕,"pig, hog",家,"house, home",家,いえ,"house, home",465
豕,"pig, hog",家,"house, home",家内,かない,my wife,466
豕,"pig, hog",家,"house, home",家賃,やちん,rent (money),853
豕,"pig, hog",家,"house, home",家族,かぞく,"family, household",1007
豕,"pig, hog",家,"house, home",家庭,かてい,"home, family",1462
豕,"pig, hog",象,"elephant, pattern after",対象,たいしょう,"target, subject",1202
豕,"pig, hog",豚,"pork, pig",豚,ぶた,"pig, pork",1611
豕,"pig, hog",豚,"pork, pig",豚肉,ぶたにく,"pork, hog meat",1612
青,"blue, green",晴,clear up,晴れる,はれる,"be sunny, clear up",100
青,"blue, green",晴,clear up,晴れ,はれ,"fine weather, clear sky",476
青,"blue, green",晴,clear up,素晴らしい,すばらしい,"splendid, excellent",1460
青,"blue, green",情,"feelings, emotion",事情,じじょう,"circumstances, conditions",678
青,"blue, green",情,"feelings, emotion",情報,じょうほう,information,680
青,"blue, green",静,quiet,静か,しずか,"quiet, tranquil",1326
門,"gate, counter for cannons",開,"open, unfold",開ける,あける,"open, unlock",103
門,"gate, counter for cannons",開,"open, unfold",開く,ひらく,open を/が,104
門,"gate, counter for cannons",開,"open, unfold",開く,あく,open が,496
門,"gate, counter for cannons",開,"open, unfold",開始,かいし,beginning,917
門,"gate, counter for cannons",開,"open, unfold",開発,かいはつ,development,930
門,"gate, counter for cannons",開,"open, unfold",公開,こうかい,opening (to the public),1096
門,"gate, counter for cannons",開,"open, unfold",開催,かいさい,"holding (of an event), opening",1510
門,"gate, counter for cannons",閉,"closed, shut",閉じる,とじる,"close (book, eyes, etc.)",105
門,"gate, counter for cannons",閉,"closed, shut",閉める,しめる,"shut, close",106
門,"gate, counter for cannons",閉,"closed, shut",閉まる,しまる,"be shut, be closed",107
門,"gate, counter for cannons",聞,"hear, ask",聞く,きく,"hear, ask",108
門,"gate, counter for cannons",聞,"hear, ask",聞こえる,きこえる,"be heard, be audible",497
門,"gate, counter for cannons",聞,"hear, ask",新聞,しんぶん,newspaper,682
門,"gate, counter for cannons",間,"interval, space",時間,じかん,"time, hour",109
門,"gate, counter for cannons",間,"interval, space",年間,ねんかん,period of one year,499
門,"gate, counter for cannons",間,"interval, space",この間,このあいだ,"the other day, recently",500
門,"gate, counter for cannons",間,"interval, space",間,あいだ,"interval, space between",501
門,"gate, counter for cannons",間,"interval, space",人間,にんげん,"human being, people",502
門,"gate, counter for cannons",間,"interval, space",昼間,ひるま,"daytime, day",525
門,"gate, counter for cannons",間,"interval, space",間に合う,まにあう,"be in time, serve (my) purpose<br>なくても〜 do without",556
門,"gate, counter for cannons",間,"interval, space",期間,きかん,period (of time),839
門,"gate, counter for cannons",間,"interval, space",間違い,まちがい,"mistake, error",987
門,"gate, counter for cannons",間,"interval, space",間違える,まちがえる,"make a mistake (in something), confuse (を)",988
