Kanji,Kanji_Core_Meaning,Word,Word_Reading,English_Meaning,Connection_Type,Figurative_Note,Position_in_Deck
一,"one, one radical (no.1)",一つ,ひとつ,one (thing),direct,,2
一,"one, one radical (no.1)",一日,ついたち,1st of the month,direct,,26
一,"one, one radical (no.1)",一人,ひとり,"one, one person",direct,,73
一,"one, one radical (no.1)",一番,いちばん,most,direct,,195
一,"one, one radical (no.1)",一杯,いっぱい,full,direct,,296
一,"one, one radical (no.1)",一緒に,いっしょに,"together, at the same time",direct,,319
一,"one, one radical (no.1)",一方,いっぽう,one way,direct,,418
一,"one, one radical (no.1)",一人で,ひとりで,by oneself,direct,,423
一,"one, one radical (no.1)",一昨年,おととし,the year before last,direct,,484
一,"one, one radical (no.1)",一昨日,おととい,day before yesterday,direct,,485
一,"one, one radical (no.1)",一部,いちぶ,part,direct,,605
一,"one, one radical (no.1)",一定,いってい,"constant, fixed",direct,,860
一,"one, one radical (no.1)",一般,いっぱん,"general, common",figurative,"one + sort/kind → ""of one kind"" → general, common",1045
一,"one, one radical (no.1)",一生懸命,いっしょうけんめい,"as hard as one can, with all one's might",figurative,one life + risking → as if risking one's whole life → with all one's might,1588
一,"one, one radical (no.1)",一,いち,one,direct,,1781
二,"two, two radical (no. 7)",二つ,ふたつ,two (things),direct,,3
二,"two, two radical (no. 7)",二十日,はつか,"20 days, 20th of the month",direct,,22
二,"two, two radical (no. 7)",二日,ふつか,"two days, 2nd of the month",direct,,23
二,"two, two radical (no. 7)",二人,ふたり,two persons,direct,,420
二,"two, two radical (no. 7)",二階,にかい,"second floor, upstairs",direct,,656
二,"two, two radical (no. 7)",二十歳,はたち,20 years old,direct,,1009
二,"two, two radical (no. 7)",二,に,two,direct,,1782
三,three,三つ,みっつ,three (things),direct,,4
三,three,三日,みっか,"three days, 3rd of the month",direct,,19
三,three,三角,さんかく,triangle,direct,,979
三,three,三,さん,three,direct,,1783
四,four,四つ,よっつ,four (things),direct,,5
四,four,四日,よっか,"four days, 4th of the month",direct,,29
四,four,四季,しき,the four seasons,direct,,666
四,four,四角,しかく,"square, quadrilateral",direct,,980
四,four,四角い,しかくい,"square, four-sided",direct,,981
四,four,四つ角,よつかど,"street corner, intersection",direct,,982
四,four,四,し,four,direct,,1784
四,four,四,よん,four,direct,,1786
五,five,五つ,いつつ,five (things),direct,,6
五,five,五日,いつか,"five days, 5th of the month",direct,,20
五,five,五,ご,five,direct,,1787
六,six,六つ,むっつ,six (things),direct,,7
六,six,六日,むいか,"six days, 6th of the month",direct,,18
六,six,六,ろく,six,direct,,1788
七,seven,七つ,ななつ,seven (things),direct,,8
七,seven,七日,なのか,"seven days, 7th of the month",direct,,28
七,seven,七,なな,seven,direct,,1789
七,seven,七,しち,seven,direct,,1807
八,"eight, eight radical (no. 12)",八つ,やっつ,eight (things),direct,,9
八,"eight, eight radical (no. 12)",八日,ようか,"eight days, 8th of the month",direct,,21
八,"eight, eight radical (no. 12)",八百屋,やおや,"vegetable store, greengrocer",direct,,630
八,"eight, eight radical (no. 12)",八,はち,eight,direct,,1790
九,nine,九つ,ここのつ,nine (things),direct,,11
九,nine,九日,ここのか,"nine days, 9th of the month",direct,,24
九,nine,九,きゅう,nine,direct,,1791
九,nine,九,く,nine,direct,,1808
百,hundred,百,ひゃく,hundred,direct,,12
百,hundred,八百屋,やおや,"vegetable store, greengrocer",direct,,630
千,thousand,千,せん,thousand,direct,,13
万,"ten thousand, 10,000",万,まん,ten thousand,direct,,14
万,"ten thousand, 10,000",万歳,ばんざい,Banzai! Hurrah! Long live...!,direct,,1008
万,"ten thousand, 10,000",万年筆,まんねんひつ,fountain pen,direct,,1622
円,"circle, yen",円,えん,circle,direct,,15
円,"circle, yen",円,えん,yen,direct,,1793
時,"time, hour",時,とき,time,direct,,16
時,"time, hour",時々,ときどき,sometimes,direct,,17
時,"time, hour",時間,じかん,"time, hour",direct,,109
時,"time, hour",時計,とけい,"clock, watch",direct,,229
時,"time, hour",当時,とうじ,at that time,direct,,792
時,"time, hour",目覚まし時計,めざましどけい,alarm clock,direct,,820
時,"time, hour",時期,じき,"time, period, season",direct,,840
時,"time, hour",時代,じだい,"age, era, antiquity",direct,,854
時,"time, hour",腕時計,うでどけい,wrist watch,direct,,1615
日,"day, sun",六日,むいか,"six days, 6th of the month",direct,,18
日,"day, sun",三日,みっか,"three days, 3rd of the month",direct,,19
日,"day, sun",五日,いつか,"five days, 5th of the month",direct,,20
日,"day, sun",八日,ようか,"eight days, 8th of the month",direct,,21
日,"day, sun",二十日,はつか,"20 days, 20th of the month",direct,,22
日,"day, sun",二日,ふつか,"two days, 2nd of the month",direct,,23
日,"day, sun",九日,ここのか,"nine days, 9th of the month",direct,,24
日,"day, sun",一日,ついたち,1st of the month,direct,,26
日,"day, sun",十日,とおか,"ten days, 10th of the month",direct,,27
日,"day, sun",七日,なのか,"seven days, 7th of the month",direct,,28
日,"day, sun",四日,よっか,"four days, 4th of the month",direct,,29
日,"day, sun",日曜日,にちようび,Sunday,direct,,33
日,"day, sun",土曜日,どようび,Saturday,direct,,34
日,"day, sun",金曜日,きんようび,Friday,direct,,36
日,"day, sun",月曜日,げつようび,Monday,direct,,37
日,"day, sun",木曜日,もくようび,Thursday,direct,,38
日,"day, sun",曜日,ようび,day of the week,direct,,39
日,"day, sun",火曜日,かようび,Tuesday,direct,,40
日,"day, sun",水曜日,すいようび,Wednesday,direct,,41
日,"day, sun",今日,きょう,today,direct,,49
日,"day, sun",昨日,きのう,yesterday,direct,,102
日,"day, sun",日記,にっき,diary,direct,,301
日,"day, sun",日,ひ,"sun, sunlight, day",direct,,378
日,"day, sun",休日,きゅうじつ,"holiday, day off",direct,,426
日,"day, sun",毎日,まいにち,every day,direct,,449
日,"day, sun",明日,あした,tomorrow,direct,,480
日,"day, sun",一昨日,おととい,day before yesterday,direct,,485
日,"day, sun",明後日,あさって,day after tomorrow,direct,,513
日,"day, sun",半日,はんにち,half a day,direct,,519
日,"day, sun",記念日,きねんび,"memorial day, anniversary",direct,,1363
日,"day, sun",誕生日,たんじょうび,birthday,direct,,1425
日,"day, sun",祝日,しゅくじつ,"holiday, festival day",direct,,1426
日,"day, sun",日陰,ひかげ,the shade,direct,,1673
日,"day, sun",日,にち,day,direct,,1795
十,ten,二十日,はつか,"20 days, 20th of the month",direct,,22
十,ten,十日,とおか,"ten days, 10th of the month",direct,,27
十,ten,十分,じゅうぶん,"enough, plenty",direct,,382
十,ten,二十歳,はたち,20 years old,direct,,1009
十,ten,十,じゅう,ten,direct,,1792
月,"month, moon",月,つき,moon,direct,,30
月,"month, moon",月曜日,げつようび,Monday,direct,,37
月,"month, moon",今月,こんげつ,this month,direct,,50
月,"month, moon",先月,せんげつ,last month,direct,,388
月,"month, moon",来月,らいげつ,next month,direct,,392
月,"month, moon",毎月,まいつき,every month,direct,,453
月,"month, moon",半月,はんつき,half a month,direct,,518
月,"month, moon",正月,しょうがつ,New Year,direct,,1120
月,"month, moon",再来月,さらいげつ,the month after next,direct,,1496
水,water,水,みず,water,direct,,31
水,water,水曜日,すいようび,Wednesday,direct,,41
水,water,水道,すいどう,"tap water, water supply",direct,,576
水,water,水泳,すいえい,swimming,direct,,1238
金,gold,金,かね,money,direct,,32
金,gold,金曜日,きんようび,Friday,direct,,36
金,gold,金,きん,"gold, sum of money, Friday",direct,,381
金,gold,金持ち,かねもち,wealthy person,direct,,735
金,gold,資金,しきん,"funds, a fund",direct,,1115
金,gold,貯金,ちょきん,"savings, deposit",direct,,1447
曜,weekday,日曜日,にちようび,Sunday,direct,,33
曜,weekday,土曜日,どようび,Saturday,direct,,34
曜,weekday,金曜日,きんようび,Friday,direct,,36
曜,weekday,月曜日,げつようび,Monday,direct,,37
曜,weekday,木曜日,もくようび,Thursday,direct,,38
曜,weekday,曜日,ようび,day of the week,direct,,39
曜,weekday,火曜日,かようび,Tuesday,direct,,40
曜,weekday,水曜日,すいようび,Wednesday,direct,,41
土,"soil, earth",土曜日,どようび,Saturday,direct,,34
土,"soil, earth",土地,とち,land,direct,,580
土,"soil, earth",お土産,おみやげ,souvenir,direct,,745
木,"tree, wood",木曜日,もくようび,Thursday,direct,,38
木,"tree, wood",木,き,"tree, wood",direct,,380
木,"tree, wood",木綿,もめん,cotton,direct,,1563
火,fire,火曜日,かようび,Tuesday,direct,,40
火,fire,火,ひ,fire,direct,,379
火,fire,火事,かじ,fire (emergency),direct,,563
週,week,週,しゅう,week,direct,,42
週,week,今週,こんしゅう,this week,direct,,51
週,week,先週,せんしゅう,last week,direct,,390
週,week,来週,らいしゅう,next week,direct,,393
週,week,毎週,まいしゅう,every week,direct,,452
週,week,週末,しゅうまつ,weekend,direct,,637
週,week,週刊誌,しゅうかんし,weekly magazine,direct,,1342
週,week,再来週,さらいしゅう,the week after next,direct,,1497
年,"year, counter for years",年,とし,"year, age",direct,,43
年,"year, counter for years",今年,ことし,this year,direct,,47
年,"year, counter for years",来年,らいねん,next year,direct,,53
年,"year, counter for years",去年,きょねん,last year,direct,,248
年,"year, counter for years",少年,しょうねん,boy,direct,,401
年,"year, counter for years",年上,としうえ,"older, senior",direct,,408
年,"year, counter for years",年下,としした,"junior, younger person",direct,,416
年,"year, counter for years",毎年,まいとし,every year (less formal),direct,,450
年,"year, counter for years",昨年,さくねん,last year (polite),direct,,482
年,"year, counter for years",一昨年,おととし,the year before last,direct,,484
年,"year, counter for years",年間,ねんかん,period of one year,direct,,499
年,"year, counter for years",半年,はんとし,half a year,direct,,516
年,"year, counter for years",年度,ねんど,"fiscal year, school year",direct,,589
年,"year, counter for years",新年,しんねん,New Year,direct,,683
年,"year, counter for years",年寄り,としより,"old person, a senior",direct,,1275
年,"year, counter for years",再来年,さらいねん,the year after next,direct,,1495
年,"year, counter for years",万年筆,まんねんひつ,fountain pen,direct,,1622
年,"year, counter for years",年賀状,ねんがじょう,New Year's card,direct,,1736
年,"year, counter for years",毎年,まいねん,every year (more formal),direct,,1820
分,"part, minute of time",分かる,わかる,understand,direct,,44
分,"part, minute of time",多分,たぶん,"probably, perhaps",direct,,62
分,"part, minute of time",自分,じぶん,"self, oneself",direct,,287
分,"part, minute of time",十分,じゅうぶん,"enough, plenty",direct,,382
分,"part, minute of time",分,ぶん,"amount, part, share",direct,,383
分,"part, minute of time",分ける,わける,"divide into parts, sort, share",direct,,384
分,"part, minute of time",分かれる,わかれる,"be divided, disperse, branch off",direct,,385
分,"part, minute of time",大分,だいぶ,"very, greatly",direct,,399
分,"part, minute of time",半分,はんぶん,half,direct,,515
分,"part, minute of time",部分,ぶぶん,"part, section",direct,,606
